size	128
T	5
J	1
H	0
step-init_step	E	m
0	-16384	1
100	-16284	0.996948
200	-16208	0.994629
300	-16118	0.991699
400	-16036	0.989136
500	-15982	0.987427
600	-15904	0.984985
700	-15830	0.982666
800	-15752	0.980103
900	-15664	0.977051
1000	-15590	0.974731
1100	-15496	0.97168
1200	-15430	0.969604
1300	-15348	0.967041
1400	-15266	0.964355
1500	-15176	0.961548
1600	-15092	0.95874
1700	-15038	0.957031
1800	-14990	0.955444
1900	-14898	0.952393
2000	-14824	0.950073
2100	-14742	0.947021
2200	-14670	0.94458
2300	-14618	0.942749
2400	-14546	0.94043
2500	-14482	0.938232
2600	-14394	0.935425
2700	-14336	0.933472
2800	-14254	0.930786
2900	-14200	0.928955
3000	-14102	0.925415
3100	-14006	0.922241
3200	-13942	0.9198
3300	-13884	0.917969
3400	-13844	0.916626
3500	-13770	0.914062
3600	-13678	0.910889
3700	-13616	0.908325
3800	-13546	0.905884
3900	-13462	0.902832
4000	-13400	0.900635
4100	-13340	0.898315
4200	-13288	0.896362
4300	-13242	0.894531
4400	-13196	0.8927
4500	-13126	0.890259
4600	-13072	0.888306
4700	-13022	0.886719
4800	-12928	0.882812
4900	-12878	0.880859
5000	-12822	0.878906
5100	-12788	0.877197
5200	-12744	0.875244
5300	-12700	0.873535
5400	-12636	0.870605
5500	-12582	0.868652
5600	-12534	0.866577
5700	-12498	0.865356
5800	-12454	0.863525
5900	-12420	0.861816
6000	-12366	0.860107
6100	-12268	0.856567
6200	-12234	0.855103
6300	-12174	0.852905
6400	-12100	0.849976
6500	-12054	0.847778
6600	-11992	0.845459
6700	-11932	0.843018
6800	-11868	0.840332
6900	-11822	0.838257
7000	-11780	0.836182
7100	-11714	0.833374
7200	-11654	0.830322
7300	-11568	0.826782
7400	-11516	0.824585
7500	-11464	0.821777
7600	-11416	0.819092
7700	-11374	0.817383
7800	-11354	0.816162
7900	-11302	0.813599
8000	-11280	0.812866
8100	-11238	0.810425
8200	-11194	0.80835
8300	-11172	0.807007
8400	-11142	0.806152
8500	-11096	0.804077
8600	-11024	0.800781
8700	-11010	0.799316
8800	-11004	0.79834
8900	-10960	0.795654
9000	-10902	0.793457
9100	-10874	0.792236
9200	-10822	0.790283
9300	-10770	0.787964
9400	-10692	0.785156
9500	-10646	0.782104
9600	-10590	0.779419
9700	-10526	0.776855
9800	-10442	0.773804
9900	-10378	0.77063
10000	-10338	0.768677
10100	-10298	0.766479
10200	-10280	0.764771
10300	-10230	0.762817
10400	-10188	0.760376
10500	-10128	0.756836
10600	-10088	0.754272
10700	-10062	0.752808
10800	-10046	0.751221
10900	-10022	0.748535
11000	-9962	0.74646
11100	-9920	0.743896
11200	-9858	0.741333
11300	-9810	0.73877
11400	-9740	0.73584
11500	-9694	0.733887
11600	-9660	0.731201
11700	-9632	0.730347
11800	-9588	0.727661
11900	-9562	0.725098
12000	-9524	0.722656
12100	-9494	0.720825
12200	-9480	0.720093
12300	-9454	0.718018
12400	-9392	0.715088
