size	128
T	1
J	1
H	E	C	m
-10	-11	0	-1
-9.5	-10.5	0	-1
-9	-10	0	-1
-8.5	-9.5	0	-1
-8	-9	0	-1
-7.5	-8.5	0	-1
-7	-8	0	-1
-6.5	-7.5	0	-1
-6	-7	0	-1
-5.5	-6.5	0	-1
-5	-6	0	-1
-4.5	-5.5	0	-1
-4	-5	3.19934e-09	-0.999999
-3.5	-4.5	0	-1
-3	-3.99998	9.78671e-09	-0.999997
-2.5	-3.49998	1.24173e-08	-0.999995
-2	-2.99992	3.86964e-08	-0.999981
-1.5	-2.49989	4.67106e-08	-0.999967
-1	-1.99972	9.95096e-08	-0.999906
-0.5	-1.49936	2.0898e-07	-0.999743
0	-0.998531	3.49461e-07	-0.999249
0.5	-0.496802	6.65136e-07	-0.997575
1	-1.94382	0.0680601	0.950153
1.5	-2.49989	4.63648e-08	0.999969
2	-2.99995	2.6783e-08	0.999987
2.5	-3.49998	1.05141e-08	0.999996
3	-4	2.95639e-09	0.999999
3.5	-4.5	4.50306e-10	1
4	-5	2.66879e-09	0.999999
4.5	-5.5	0	1
5	-6	0	1
5.5	-6.5	0	1
6	-7	0	1
6.5	-7.5	0	1
7	-8	0	1
7.5	-8.5	0	1
8	-9	0	1
8.5	-9.5	0	1
9	-10	0	1
9.5	-10.5	0	1
