size	128
T	4
J	1
H	E	C	m
-10	-10.9779	2.02788e-06	-0.99816
-9.5	-10.4726	2.38101e-06	-0.99762
-9	-9.96696	2.90634e-06	-0.996994
-8.5	-9.45914	3.23323e-06	-0.996105
-8	-8.94925	3.76009e-06	-0.994919
-7.5	-8.4386	3.91626e-06	-0.993526
-7	-7.92371	5.88076e-06	-0.991501
-6.5	-7.40832	6.23781e-06	-0.989178
-6	-6.88812	7.42531e-06	-0.98595
-5.5	-6.36408	7.84387e-06	-0.98176
-5	-5.8339	8.69223e-06	-0.976053
-4.5	-5.30047	9.92457e-06	-0.968919
-4	-4.75804	1.29478e-05	-0.958948
-3.5	-4.20765	1.26319e-05	-0.945494
-3	-3.64608	1.41677e-05	-0.926577
-2.5	-3.07122	1.47229e-05	-0.899379
-2	-2.48143	1.94727e-05	-0.859104
-1.5	-1.86993	1.8623e-05	-0.794326
-1	-1.24071	1.85657e-05	-0.682043
-0.5	-0.619558	1.40539e-05	-0.452889
0	-0.278657	2.59591e-06	0.000243896
0.5	-0.620077	1.04502e-05	0.45322
1	-1.23895	1.60579e-05	0.681123
1.5	-1.86888	2.06528e-05	0.793941
2	-2.47924	1.80384e-05	0.858426
2.5	-3.07199	1.70755e-05	0.899594
3	-3.64532	1.46205e-05	0.926412
3.5	-4.20704	1.37968e-05	0.945379
4	-4.75792	1.18797e-05	0.958944
4.5	-5.29995	1.07815e-05	0.968834
5	-5.83484	9.09693e-06	0.976194
5.5	-6.36494	8.22071e-06	0.981879
6	-6.88788	7.35958e-06	0.985919
6.5	-7.40936	6.12644e-06	0.989299
7	-7.92535	5.99296e-06	0.991685
7.5	-8.43822	4.32105e-06	0.993485
8	-8.94917	3.62056e-06	0.99491
8.5	-9.45848	3.0947e-06	0.996042
9	-9.96629	3.09599e-06	0.996933
9.5	-10.4726	2.40352e-06	0.997615
10	-10.9778	2.10392e-06	0.99815
9.5	-10.4734	2.35097e-06	0.997684
9	-9.96625	3.08512e-06	0.99693
8.5	-9.45852	3.70656e-06	0.996046
8	-8.95009	3.60947e-06	0.995001
7.5	-8.43895	4.37417e-06	0.993562
7	-7.92532	5.27153e-06	0.991683
6.5	-7.40891	5.78909e-06	0.989249
6	-6.88819	6.44766e-06	0.985959
5.5	-6.3636	8.05795e-06	0.981693
5	-5.83392	9.05106e-06	0.976059
4.5	-5.30116	1.0231e-05	0.969023
4	-4.75809	1.17251e-05	0.958966
3.5	-4.20629	1.38075e-05	0.945227
3	-3.64557	1.37769e-05	0.926467
2.5	-3.07089	1.87183e-05	0.899303
2	-2.48025	1.62187e-05	0.858791
1.5	-1.87157	1.82332e-05	0.794966
1	-1.23737	1.52051e-05	0.680497
0.5	-0.620373	1.05634e-05	0.453485
0	-0.278419	2.60484e-06	0.000419434
-0.5	-0.618445	1.45188e-05	-0.451904
-1	-1.23825	2.11563e-05	-0.680751
-1.5	-1.87195	1.95668e-05	-0.795046
-2	-2.48157	1.86377e-05	-0.859091
-2.5	-3.07319	1.57608e-05	-0.899847
-3	-3.64738	1.61514e-05	-0.926864
-3.5	-4.20851	1.39148e-05	-0.945653
-4	-4.75777	1.21536e-05	-0.958908
-4.5	-5.3003	1.06268e-05	-0.96889
-5	-5.83457	9.12677e-06	-0.976155
-5.5	-6.36438	8.1356e-06	-0.981802
-6	-6.88826	6.57033e-06	-0.985967
-6.5	-7.40856	6.52039e-06	-0.989205
-7	-7.92395	6.05643e-06	-0.991529
-7.5	-8.43823	5.11644e-06	-0.993487
-8	-8.94903	3.96467e-06	-0.994896
-8.5	-9.45862	3.27486e-06	-0.996055
-9	-9.9669	2.76313e-06	-0.996988
-9.5	-10.4732	2.16127e-06	-0.997667
