size	128
J	1
H	0.5
T	E	C	m
0.1	-1.5	0	1
0.2	-1.5	0	1
0.3	-1.5	0	1
0.4	-1.5	0	1
0.5	-1.5	0	1
0.6	-1.5	1.03066e-09	1
0.7	-1.49999	8.20153e-09	0.999995
0.8	-1.49993	3.4058e-08	0.999972
0.9	-1.49976	9.31502e-08	0.999903
1	-1.49936	1.90831e-07	0.999744
1.1	-1.49863	3.52868e-07	0.999445
1.2	-1.49717	6.75689e-07	0.998852
1.3	-1.49481	1.0663e-06	0.99789
1.4	-1.49108	1.65559e-06	0.996339
1.5	-1.48601	1.85508e-06	0.99423
1.6	-1.47913	2.71049e-06	0.9913
1.7	-1.47019	3.46372e-06	0.987454
1.8	-1.45921	3.92244e-06	0.982667
1.9	-1.44508	5.12411e-06	0.976358
2	-1.42837	6.3621e-06	0.968718
2.1	-1.40773	9.23839e-06	0.959112
2.2	-1.38391	9.19748e-06	0.947839
2.3	-1.35678	9.29995e-06	0.9344
2.4	-1.3257	1.05134e-05	0.918743
2.5	-1.28996	1.16674e-05	0.900088
2.6	-1.25303	1.38449e-05	0.880176
2.7	-1.20982	1.49659e-05	0.856064
2.8	-1.16311	1.65713e-05	0.829046
2.9	-1.11648	1.62729e-05	0.801599
3	-1.06752	1.55983e-05	0.771222
3.1	-1.0152	1.95088e-05	0.737886
3.2	-0.967191	2.07447e-05	0.706718
3.3	-0.912276	1.83585e-05	0.669137
3.4	-0.862282	1.72987e-05	0.634116
3.5	-0.81446	1.58289e-05	0.599631
3.6	-0.769915	1.49665e-05	0.567222
3.7	-0.727652	1.58124e-05	0.536207
3.8	-0.688043	1.35927e-05	0.505517
3.9	-0.65072	1.35859e-05	0.477296
