size	128
J	1
H	0
T	E	m
0	-1	1
0.01	-1	1
0.02	-1	1
0.03	-1	1
0.04	-1	1
0.05	-1	1
0.06	-1	1
0.07	-1	1
0.08	-1	1
0.09	-1	1
0.1	-1	1
0.11	-1	1
0.12	-1	1
0.13	-1	1
0.14	-1	1
0.15	-1	1
0.16	-1	1
0.17	-1	1
0.18	-1	1
0.19	-1	1
0.2	-1	1
0.21	-1	1
0.22	-1	1
0.23	-1	1
0.24	-1	1
0.25	-1	1
0.26	-1	1
0.27	-1	1
0.28	-1	1
0.29	-1	1
0.3	-1	1
0.31	-1	1
0.32	-1	1
0.33	-1	1
0.34	-1	1
0.35	-1	1
0.36	-1	1
0.37	-1	1
0.38	-1	1
0.39	-1	1
0.4	-1	1
0.41	-1	1
0.42	-1	1
0.43	-1	1
0.44	-1	1
0.45	-1	1
0.46	-1	1
0.47	-1	1
0.48	-1	1
0.49	-1	1
0.5	-1	1
0.51	-0.999988	0.999994
0.52	-1	1
0.53	-1	1
0.54	-1	1
0.55	-1	1
0.56	-1	1
0.57	-1	1
0.58	-1	1
0.59	-1	1
0.6	-0.999987	0.999993
0.61	-1	1
0.62	-1	1
0.63	-1	1
0.64	-1	1
0.65	-1	1
0.66	-0.999938	0.999969
0.67	-1	1
0.68	-1	1
0.69	-0.999932	0.999966
0.7	-0.999995	0.999997
0.71	-0.999957	0.999979
0.72	-1	1
0.73	-0.999883	0.999942
0.74	-0.999961	0.999981
0.75	-0.999901	0.999951
0.76	-0.999878	0.999939
0.77	-0.999986	0.999993
0.78	-0.999818	0.999909
0.79	-0.999993	0.999996
0.8	-0.999576	0.999788
0.81	-0.999863	0.999931
0.82	-0.999709	0.999855
0.83	-0.999541	0.99977
0.84	-0.999896	0.999948
0.85	-0.999556	0.999776
0.86	-0.999742	0.99987
0.87	-0.999513	0.999756
0.88	-0.999658	0.999829
0.89	-0.999601	0.9998
0.9	-0.999653	0.999826
0.91	-0.999208	0.999596
0.92	-0.998956	0.999473
0.93	-0.999196	0.999575
0.94	-0.998831	0.999415
0.95	-0.999021	0.999496
0.96	-0.999017	0.999482
0.97	-0.998919	0.999456
0.98	-0.998925	0.999446
0.99	-0.998164	0.999061
1	-0.998507	0.99924
1.01	-0.998316	0.999144
1.02	-0.998337	0.999159
1.03	-0.99841	0.99917
1.04	-0.997379	0.99866
1.05	-0.9976	0.998783
1.06	-0.998016	0.998999
1.07	-0.997481	0.998706
1.08	-0.997064	0.998505
1.09	-0.99681	0.998392
1.1	-0.997275	0.998612
1.11	-0.997005	0.998485
1.12	-0.996598	0.998265
1.13	-0.99573	0.99779
1.14	-0.996387	0.998128
1.15	-0.995946	0.99793
1.16	-0.995324	0.997563
1.17	-0.995958	0.99787
1.18	-0.995245	0.997532
1.19	-0.995746	0.997828
1.2	-0.994133	0.996956
1.21	-0.993957	0.996539
1.22	-0.993174	0.996407
1.23	-0.992153	0.995832
1.24	-0.993266	0.996514
1.25	-0.991993	0.995854
1.26	-0.991424	0.995518
1.27	-0.992022	0.9957
1.28	-0.991786	0.995678
1.29	-0.988859	0.993766
1.3	-0.989841	0.994633
1.31	-0.990243	0.994804
1.32	-0.988332	0.993779
1.33	-0.989864	0.994689
1.34	-0.987812	0.993605
1.35	-0.98706	0.993115
1.36	-0.987106	0.993118
1.37	-0.986859	0.993001
1.38	-0.985869	0.992315
1.39	-0.985308	0.992231
1.4	-0.981444	0.990021
1.41	-0.982904	0.990802
1.42	-0.981481	0.989938
1.43	-0.980272	0.989004
1.44	-0.982209	0.990304
1.45	-0.978741	0.988392
1.46	-0.976353	0.987035
1.47	-0.977076	0.987439
1.48	-0.976554	0.987258
1.49	-0.975749	0.986444
1.5	-0.975988	0.986955
1.51	-0.977426	0.987487
1.52	-0.971565	0.984072
1.53	-0.97354	0.985233
1.54	-0.970241	0.983251
1.55	-0.968161	0.981917
1.56	-0.969941	0.983568
1.57	-0.968155	0.982038
1.58	-0.965445	0.979261
1.59	-0.963997	0.979526
1.6	-0.96422	0.979674
1.61	-0.965679	0.981087
1.62	-0.963532	0.979521
1.63	-0.958167	0.976196
1.64	-0.953504	0.972789
1.65	-0.960004	0.976978
1.66	-0.957668	0.975732
1.67	-0.954554	0.973947
1.68	-0.950813	0.971426
1.69	-0.946433	0.967701
1.7	-0.949956	0.971225
1.71	-0.947012	0.968936
1.72	-0.949214	0.970845
1.73	-0.946174	0.967611
1.74	-0.94202	0.966356
1.75	-0.93809	0.961699
1.76	-0.94063	0.964793
1.77	-0.931547	0.955555
1.78	-0.934785	0.960175
1.79	-0.930306	0.958094
1.8	-0.930692	0.957776
1.81	-0.928773	0.956176
1.82	-0.920702	0.951126
1.83	-0.916156	0.945498
1.84	-0.922419	0.952919
1.85	-0.915807	0.946075
1.86	-0.914513	0.945674
1.87	-0.911092	0.941473
1.88	-0.911971	0.942741
1.89	-0.894431	0.932519
1.9	-0.901415	0.936851
1.91	-0.898457	0.934548
1.92	-0.895598	0.927694
1.93	-0.895912	0.930937
1.94	-0.894884	0.930005
1.95	-0.890725	0.927318
1.96	-0.892564	0.928295
1.97	-0.884944	0.923568
1.98	-0.88148	0.915748
1.99	-0.87549	0.912742
2	-0.865096	0.90404
2.01	-0.867839	0.907153
2.02	-0.857183	0.894665
2.03	-0.855785	0.897619
2.04	-0.846682	0.885138
2.05	-0.856978	0.898113
2.06	-0.844466	0.88404
2.07	-0.849925	0.892587
2.08	-0.84819	0.889448
2.09	-0.845113	0.888669
2.1	-0.834613	0.874657
2.11	-0.831237	0.872602
2.12	-0.816139	0.856349
2.13	-0.813825	0.856905
2.14	-0.822083	0.860979
2.15	-0.796432	0.841054
2.16	-0.810122	0.84396
2.17	-0.793428	0.833615
2.18	-0.788203	0.823293
2.19	-0.791497	0.823547
2.2	-0.780893	0.817232
2.21	-0.761744	0.790414
2.22	-0.779788	0.816785
2.23	-0.75876	0.791093
2.24	-0.758351	0.781728
2.25	-0.760102	0.79312
2.26	-0.764668	0.792283
2.27	-0.737823	0.767455
2.28	-0.737245	0.762707
2.29	-0.72661	0.728547
2.3	-0.717025	0.717807
2.31	-0.708519	0.704793
2.32	-0.70409	0.704042
2.33	-0.710471	0.683389
2.34	-0.706414	0.712275
2.35	-0.699075	0.707167
2.36	-0.686211	0.68709
2.37	-0.680236	0.676442
2.38	-0.683031	0.673852
