size	64
J	1
T	H	E	C	m
0.5	-5	-5.99394	0.0164037	-0.999122
0.5	-4.8	-5.8	3.75167e-12	-1
0.5	-4.6	-5.6	4.12115e-13	-1
0.5	-4.4	-5.4	5.96856e-13	-1
0.5	-4.2	-5.2	-3.55271e-13	-1
0.5	-4	-5	2.84217e-14	-1
0.5	-3.8	-4.8	1.62004e-12	-1
0.5	-3.6	-4.6	-1.52056e-12	-1
0.5	-3.4	-4.4	-2.04636e-12	-1
0.5	-3.2	-4.2	2.04636e-12	-1
0.5	-3	-4	0	-1
0.5	-2.8	-3.8	1.03739e-12	-1
0.5	-2.6	-3.6	-1.64846e-12	-1
0.5	-2.4	-3.4	1.98952e-13	-1
0.5	-2.2	-3.2	-5.04485e-13	-1
0.5	-2	-3	7.10543e-15	-1
0.5	-1.8	-2.8	1.03029e-13	-1
0.5	-1.6	-2.6	-8.88178e-14	-1
0.5	-1.4	-2.4	3.94351e-13	-1
0.5	-1.2	-2.2	-5.11591e-13	-1
0.5	-1	-2	0	-1
0.5	-0.8	-1.8	-4.12115e-13	-1
0.5	-0.6	-1.6	-1.26121e-13	-1
0.5	-0.4	-1.4	2.57572e-14	-1
0.5	-0.2	-1.2	9.85878e-14	-1
0.5	2.16493e-15	-1	0	-1
0.5	0.2	-0.8	-3.15303e-14	-1
0.5	0.4	-0.599989	3.37012e-08	-0.999993
0.5	0.6	-0.399995	1.4834e-08	-0.999996
0.5	0.8	-0.199989	2.42743e-08	-0.999991
0.5	1	9.76563e-06	2.25067e-08	-0.99999
0.5	1.2	0.200017	3.25432e-08	-0.999978
0.5	1.4	-0.976614	5.93578	-0.00416943
0.5	1.6	-2.6	-8.88178e-14	1
0.5	1.8	-2.8	1.03029e-13	1
0.5	2	-3	0	1
0.5	2.2	-3.2	-5.04485e-13	1
0.5	2.4	-3.4	2.06057e-13	1
0.5	2.6	-3.6	-1.64846e-12	1
0.5	2.8	-3.8	1.03739e-12	1
0.5	3	-4	-1.42109e-14	1
0.5	3.2	-4.2	2.04636e-12	1
0.5	3.4	-4.4	-2.04636e-12	1
0.5	3.6	-4.6	-1.52056e-12	1
0.5	3.8	-4.8	1.62004e-12	1
0.5	4	-5	0	1
0.5	4.2	-5.2	-3.55271e-13	1
0.5	4.4	-5.4	5.96856e-13	1
0.5	4.6	-5.6	4.12115e-13	1
0.5	4.8	-5.8	3.75167e-12	1
0.6	-5	-5.99439	0.010154	-0.999186
0.6	-4.8	-5.8	2.60532e-12	-1
0.6	-4.6	-5.6	2.86191e-13	-1
0.6	-4.4	-5.4	4.14483e-13	-1
0.6	-4.2	-5.2	-2.46716e-13	-1
0.6	-4	-5	1.97373e-14	-1
0.6	-3.8	-4.8	1.12503e-12	-1
0.6	-3.6	-4.6	-1.05595e-12	-1
0.6	-3.4	-4.4	-1.42109e-12	-1
0.6	-3.2	-4.2	1.42109e-12	-1
0.6	-3	-4	0	-1
0.6	-2.8	-3.8	7.20411e-13	-1
0.6	-2.6	-3.6	-1.14476e-12	-1
0.6	-2.4	-3.4	1.38161e-13	-1
0.6	-2.2	-3.2	-3.50337e-13	-1
0.6	-2	-3	4.93432e-15	-1
0.6	-1.8	-2.8	7.15477e-14	-1
