size	128
T	2.5
J	1
H	0
x	y
0 13	0 14
0 13	1 13
0 14	0 15
0 15	1 15
0 17	0 18
0 47	0 48
0 47	1 47
0 54	0 55
0 54	1 54
0 55	1 55
0 56	0 57
0 56	1 56
0 58	0 59
0 58	1 58
0 59	0 60
0 60	1 60
1 13	2 13
1 15	1 16
1 16	2 16
1 46	1 47
1 46	2 46
1 53	1 54
1 53	2 53
1 55	1 56
1 58	2 58
1 60	2 60
1 64	1 65
1 64	2 64
1 65	2 65
2 13	3 13
2 16	3 16
2 46	3 46
2 53	3 53
2 58	2 59
2 59	2 60
2 61	2 62
2 61	3 61
2 62	3 62
2 63	2 64
2 63	3 63
2 64	2 65
2 64	3 64
2 121	2 122
2 121	3 121
2 122	3 122
3 13	4 13
3 16	3 17
3 17	4 17
3 46	3 47
3 47	3 48
3 48	3 49
3 49	4 49
3 53	4 53
3 55	3 56
3 55	4 55
3 56	4 56
3 61	3 62
3 63	3 64
3 121	3 122
4 12	4 13
4 12	5 12
4 13	4 14
4 13	5 13
4 14	5 14
4 17	4 18
4 18	4 19
4 19	4 20
4 20	4 21
4 21	5 21
4 49	5 49
4 50	4 51
4 50	5 50
4 51	4 52
4 52	4 53
4 55	4 56
5 12	5 13
5 14	6 14
5 21	6 21
5 49	6 49
5 50	6 50
6 11	6 12
6 11	7 11
6 12	6 13
6 13	7 13
6 14	7 14
6 19	6 20
6 19	7 19
6 20	6 21
6 49	6 50
6 57	6 58
6 57	7 57
6 58	6 59
6 59	7 59
6 117	6 118
6 117	7 117
6 118	6 119
6 119	7 119
7 11	8 11
7 13	7 14
7 15	7 16
7 15	8 15
7 16	7 17
7 17	8 17
7 19	8 19
7 52	7 53
7 52	8 52
7 53	8 53
7 57	8 57
7 58	7 59
7 58	8 58
7 115	7 116
7 115	8 115
7 116	7 117
7 117	7 118
7 117	8 117
7 118	7 119
7 119	7 120
7 119	8 119
7 120	8 120
8 11	8 12
8 12	8 13
8 13	9 13
8 15	8 16
8 16	9 16
8 17	9 17
8 18	8 19
8 18	9 18
8 52	9 52
8 53	8 54
8 54	9 54
8 57	8 58
8 115	9 115
8 117	9 117
8 119	8 120
9 13	9 14
9 14	9 15
9 15	9 16
9 17	9 18
9 52	9 53
9 53	9 54
9 115	9 116
9 116	9 117
10 13	10 14
10 13	11 13
10 14	11 14
10 44	10 45
10 44	11 44
10 45	11 45
11 13	11 14
11 35	11 36
11 35	12 35
11 36	12 36
11 44	11 45
12 35	12 36
15 110	15 111
15 110	16 110
15 111	15 112
15 112	16 112
16 110	16 111
16 111	17 111
16 112	17 112
17 111	17 112
19 124	19 125
19 124	20 124
19 125	20 125
20 124	20 125
24 64	24 65
24 64	25 64
24 65	25 65
25 64	25 65
26 104	26 105
26 104	27 104
26 105	27 105
27 30	27 31
27 30	28 30
27 31	28 31
27 43	27 44
27 43	28 43
27 44	27 45
27 45	28 45
27 63	27 64
27 63	28 63
27 64	27 65
27 65	28 65
27 104	27 105
28 30	28 31
28 43	28 44
28 44	28 45
28 63	28 64
28 64	28 65
29 30	29 31
29 30	30 30
29 31	30 31
29 70	29 71
29 70	30 70
29 71	30 71
30 30	30 31
30 70	31 70
30 71	31 71
31 70	31 71
35 28	35 29
35 28	36 28
35 29	36 29
36 28	36 29
39 92	39 93
39 92	40 92
39 93	40 93
40 92	40 93
45 62	45 63
45 62	46 62
45 63	46 63
46 62	46 63
46 99	46 100
46 99	47 99
46 100	47 100
47 88	47 89
47 88	48 88
47 89	48 89
47 99	47 100
48 88	49 88
48 89	48 90
48 90	49 90
49 88	49 89
49 89	50 89
49 90	49 91
49 91	50 91
50 89	51 89
50 90	50 91
50 90	51 90
51 89	51 90
52 94	52 95
52 94	53 94
52 95	53 95
52 101	52 102
52 101	53 101
52 102	53 102
53 94	54 94
53 95	53 96
53 96	54 96
53 101	53 102
54 94	54 95
54 95	54 96
54 101	54 102
54 101	55 101
54 102	55 102
55 94	55 95
55 94	56 94
55 95	56 95
55 98	55 99
55 98	56 98
55 99	56 99
55 101	55 102
56 93	56 94
56 93	57 93
56 95	57 95
56 98	56 99
57 93	58 93
57 95	57 96
57 96	58 96
58 93	58 94
58 94	58 95
58 95	58 96
64 83	64 84
64 83	65 83
64 84	65 84
65 83	65 84
72 75	72 76
72 75	73 75
72 76	73 76
73 75	73 76
89 88	89 89
89 88	90 88
89 89	90 89
90 88	90 89
92 89	92 90
92 89	93 89
92 90	93 90
93 89	94 89
93 90	93 91
93 91	93 92
93 92	94 92
94 87	94 88
94 87	95 87
94 88	94 89
94 91	94 92
94 91	95 91
95 82	95 83
95 82	96 82
95 83	96 83
95 87	96 87
95 89	95 90
95 89	96 89
95 90	95 91
95 91	95 92
95 91	96 91
95 92	96 92
96 82	96 83
96 84	96 85
96 84	97 84
96 85	97 85
96 87	96 88
96 88	96 89
96 91	96 92
97 84	97 85
98 82	98 83
98 82	99 82
98 83	99 83
98 87	98 88
98 87	99 87
98 88	99 88
99 82	99 83
99 87	99 88
99 93	99 94
99 93	100 93
99 94	100 94
100 66	100 67
100 66	101 66
100 67	101 67
100 93	100 94
101 66	102 66
101 67	102 67
102 66	103 66
102 67	103 67
103 66	103 67
108 86	108 87
108 86	109 86
108 87	109 87
109 86	109 87
111 108	111 109
111 108	112 108
111 109	112 109
112 108	112 109
120 91	120 92
120 91	121 91
120 92	121 92
121 57	121 58
121 57	122 57
121 58	122 58
121 91	121 92
122 49	122 50
122 49	123 49
122 50	123 50
122 57	122 58
123 16	123 17
123 16	124 16
123 17	124 17
123 48	123 49
123 48	124 48
123 50	124 50
123 81	123 82
123 81	124 81
123 82	124 82
124 11	124 12
124 11	125 11
124 12	124 13
124 13	125 13
124 16	124 17
124 48	124 49
124 49	124 50
124 51	124 52
124 51	125 51
124 52	125 52
124 81	124 82
124 82	124 83
124 82	125 82
124 83	125 83
125 11	125 12
125 12	125 13
125 14	125 15
125 14	126 14
125 15	125 16
125 16	126 16
125 48	125 49
125 48	126 48
125 49	125 50
125 50	125 51
125 52	126 52
125 82	125 83
126 14	126 15
126 15	127 15
126 16	127 16
126 17	126 18
126 17	127 17
126 18	127 18
126 48	127 48
126 52	126 53
126 53	126 54
126 54	126 55
126 55	127 55
127 15	127 16
127 17	128 17
127 18	128 18
127 48	128 48
127 55	127 56
127 56	127 57
127 57	128 57
