size	16
T	4
J	1
H	0
step-init_step	E	m
0	-1	1
10	-0.96875	0.984375
20	-0.945312	0.96875
30	-0.929688	0.960938
40	-0.929688	0.960938
50	-0.914062	0.953125
60	-0.867188	0.929688
70	-0.84375	0.914062
80	-0.828125	0.90625
90	-0.820312	0.90625
100	-0.820312	0.90625
110	-0.789062	0.882812
120	-0.789062	0.882812
130	-0.78125	0.875
140	-0.742188	0.84375
150	-0.734375	0.835938
160	-0.71875	0.828125
170	-0.710938	0.8125
180	-0.679688	0.796875
190	-0.640625	0.773438
200	-0.609375	0.75
210	-0.640625	0.765625
220	-0.664062	0.773438
230	-0.6875	0.773438
240	-0.695312	0.78125
250	-0.679688	0.78125
260	-0.6875	0.789062
270	-0.664062	0.78125
280	-0.703125	0.8125
290	-0.679688	0.796875
300	-0.679688	0.796875
310	-0.632812	0.765625
320	-0.640625	0.765625
330	-0.625	0.742188
340	-0.625	0.734375
350	-0.585938	0.703125
360	-0.570312	0.695312
370	-0.570312	0.695312
380	-0.539062	0.679688
390	-0.5	0.671875
400	-0.515625	0.671875
410	-0.539062	0.695312
420	-0.5	0.664062
430	-0.492188	0.65625
440	-0.492188	0.65625
450	-0.484375	0.65625
460	-0.476562	0.65625
470	-0.484375	0.65625
480	-0.5	0.65625
490	-0.484375	0.640625
500	-0.484375	0.648438
510	-0.492188	0.65625
520	-0.476562	0.632812
530	-0.484375	0.609375
540	-0.476562	0.59375
550	-0.492188	0.609375
560	-0.484375	0.585938
570	-0.492188	0.5625
580	-0.476562	0.53125
590	-0.453125	0.507812
600	-0.445312	0.484375
610	-0.421875	0.46875
620	-0.398438	0.46875
630	-0.398438	0.476562
640	-0.414062	0.476562
650	-0.414062	0.484375
660	-0.390625	0.476562
670	-0.375	0.476562
680	-0.375	0.476562
690	-0.367188	0.476562
700	-0.375	0.492188
710	-0.375	0.476562
720	-0.390625	0.484375
730	-0.375	0.484375
740	-0.351562	0.484375
750	-0.367188	0.507812
760	-0.34375	0.476562
770	-0.34375	0.476562
780	-0.351562	0.46875
790	-0.328125	0.4375
800	-0.34375	0.4375
810	-0.351562	0.429688
820	-0.351562	0.414062
830	-0.375	0.40625
840	-0.375	0.414062
850	-0.367188	0.398438
860	-0.351562	0.382812
870	-0.351562	0.375
880	-0.359375	0.40625
890	-0.359375	0.414062
900	-0.382812	0.414062
910	-0.359375	0.390625
920	-0.40625	0.40625
930	-0.398438	0.429688
940	-0.367188	0.40625
950	-0.375	0.4375
960	-0.351562	0.445312
970	-0.34375	0.453125
980	-0.351562	0.460938
990	-0.351562	0.4375
1000	-0.359375	0.445312
1010	-0.351562	0.445312
1020	-0.335938	0.4375
1030	-0.335938	0.445312
1040	-0.335938	0.429688
1050	-0.335938	0.429688
1060	-0.382812	0.476562
1070	-0.375	0.476562
1080	-0.382812	0.484375
1090	-0.382812	0.46875
1100	-0.375	0.460938
1110	-0.375	0.460938
1120	-0.367188	0.445312
1130	-0.375	0.421875
1140	-0.359375	0.398438
1150	-0.382812	0.390625
1160	-0.367188	0.375
1170	-0.390625	0.367188
1180	-0.390625	0.375
1190	-0.390625	0.367188
1200	-0.382812	0.375
1210	-0.375	0.390625
1220	-0.351562	0.375
1230	-0.398438	0.382812
1240	-0.382812	0.359375
1250	-0.375	0.367188
1260	-0.367188	0.367188
1270	-0.375	0.351562
1280	-0.367188	0.335938
1290	-0.359375	0.3125
1300	-0.34375	0.296875
1310	-0.328125	0.3125
1320	-0.328125	0.3125
1330	-0.335938	0.296875
1340	-0.335938	0.304688
1350	-0.34375	0.304688
1360	-0.34375	0.335938
1370	-0.367188	0.3125
1380	-0.367188	0.3125
1390	-0.359375	0.3125
1400	-0.359375	0.304688
1410	-0.382812	0.328125
1420	-0.359375	0.296875
1430	-0.351562	0.289062
1440	-0.359375	0.28125
1450	-0.367188	0.289062
1460	-0.382812	0.296875
1470	-0.390625	0.289062
1480	-0.390625	0.289062
1490	-0.398438	0.289062
1500	-0.398438	0.304688
1510	-0.390625	0.3125
1520	-0.382812	0.304688
1530	-0.390625	0.335938
1540	-0.367188	0.335938
1550	-0.382812	0.328125
1560	-0.390625	0.34375
1570	-0.382812	0.335938
1580	-0.382812	0.3125
1590	-0.375	0.3125
1600	-0.382812	0.296875
1610	-0.398438	0.320312
1620	-0.390625	0.296875
1630	-0.34375	0.257812
1640	-0.351562	0.257812
1650	-0.375	0.265625
1660	-0.359375	0.25
1670	-0.34375	0.25
1680	-0.34375	0.25
1690	-0.351562	0.273438
1700	-0.359375	0.296875
1710	-0.335938	0.289062
1720	-0.335938	0.257812
1730	-0.328125	0.242188
1740	-0.296875	0.242188
1750	-0.289062	0.203125
1760	-0.28125	0.1875
1770	-0.273438	0.210938
1780	-0.265625	0.195312
1790	-0.257812	0.1875
1800	-0.289062	0.1875
1810	-0.328125	0.210938
1820	-0.335938	0.226562
1830	-0.34375	0.203125
1840	-0.335938	0.203125
1850	-0.3125	0.203125
1860	-0.296875	0.195312
1870	-0.3125	0.203125
1880	-0.328125	0.226562
1890	-0.289062	0.21875
1900	-0.320312	0.21875
1910	-0.28125	0.203125
1920	-0.304688	0.226562
1930	-0.28125	0.226562
1940	-0.257812	0.21875
1950	-0.257812	0.195312
1960	-0.273438	0.203125
1970	-0.28125	0.21875
1980	-0.28125	0.226562
1990	-0.273438	0.257812
2000	-0.289062	0.289062
2010	-0.242188	0.242188
2020	-0.257812	0.265625
2030	-0.273438	0.265625
2040	-0.257812	0.265625
2050	-0.273438	0.226562
2060	-0.273438	0.242188
2070	-0.289062	0.25
2080	-0.273438	0.273438
2090	-0.265625	0.234375
2100	-0.25	0.242188
2110	-0.25	0.25
2120	-0.273438	0.25
2130	-0.296875	0.289062
2140	-0.28125	0.289062
2150	-0.289062	0.296875
2160	-0.3125	0.328125
2170	-0.328125	0.34375
2180	-0.34375	0.320312
2190	-0.367188	0.296875
2200	-0.34375	0.28125
2210	-0.375	0.3125
2220	-0.367188	0.3125
2230	-0.382812	0.320312
2240	-0.375	0.320312
2250	-0.359375	0.304688
2260	-0.335938	0.265625
2270	-0.320312	0.265625
2280	-0.289062	0.257812
2290	-0.296875	0.21875
2300	-0.296875	0.203125
2310	-0.289062	0.195312
2320	-0.296875	0.15625
2330	-0.304688	0.171875
2340	-0.304688	0.1875
2350	-0.289062	0.210938
2360	-0.289062	0.203125
2370	-0.28125	0.203125
2380	-0.28125	0.234375
2390	-0.296875	0.234375
2400	-0.3125	0.234375
2410	-0.304688	0.203125
2420	-0.351562	0.234375
2430	-0.335938	0.234375
2440	-0.34375	0.21875
2450	-0.34375	0.226562
2460	-0.359375	0.234375
2470	-0.3125	0.234375
2480	-0.304688	0.234375
2490	-0.296875	0.195312
2500	-0.265625	0.179688
2510	-0.289062	0.210938
2520	-0.28125	0.195312
2530	-0.296875	0.203125
2540	-0.296875	0.1875
2550	-0.304688	0.210938
2560	-0.28125	0.21875
2570	-0.28125	0.226562
2580	-0.296875	0.226562
2590	-0.289062	0.195312
2600	-0.304688	0.203125
2610	-0.289062	0.195312
2620	-0.265625	0.179688
2630	-0.3125	0.210938
2640	-0.3125	0.242188
2650	-0.296875	0.21875
2660	-0.289062	0.195312
2670	-0.304688	0.195312
2680	-0.296875	0.195312
2690	-0.296875	0.171875
2700	-0.304688	0.1875
2710	-0.3125	0.171875
2720	-0.320312	0.195312
2730	-0.320312	0.171875
2740	-0.328125	0.171875
2750	-0.34375	0.164062
2760	-0.34375	0.164062
2770	-0.34375	0.15625
2780	-0.359375	0.164062
2790	-0.351562	0.164062
2800	-0.34375	0.164062
2810	-0.335938	0.148438
2820	-0.34375	0.140625
2830	-0.359375	0.148438
2840	-0.367188	0.125
2850	-0.359375	0.109375
2860	-0.375	0.09375
2870	-0.359375	0.09375
2880	-0.351562	0.078125
2890	-0.359375	0.078125
2900	-0.367188	0.101562
2910	-0.351562	0.09375
2920	-0.351562	0.0625
2930	-0.335938	0.0546875
2940	-0.351562	0.03125
2950	-0.335938	0.03125
2960	-0.328125	0.0078125
2970	-0.3125	0.015625
2980	-0.34375	0.015625
2990	-0.320312	0.015625
3000	-0.320312	0.0234375
3010	-0.3125	0.015625
3020	-0.296875	0.0234375
3030	-0.265625	0.0625
3040	-0.265625	0.0390625
3050	-0.28125	0.03125
3060	-0.3125	0.0078125
3070	-0.3125	-0.0078125
3080	-0.328125	-0.0234375
3090	-0.328125	-0.0546875
3100	-0.34375	-0.0234375
3110	-0.34375	-0.078125
3120	-0.328125	-0.0625
3130	-0.335938	-0.078125
3140	-0.335938	-0.09375
3150	-0.3125	-0.078125
3160	-0.320312	-0.0859375
3170	-0.335938	-0.101562
3180	-0.328125	-0.0859375
3190	-0.335938	-0.09375
3200	-0.328125	-0.109375
3210	-0.320312	-0.109375
3220	-0.3125	-0.09375
3230	-0.289062	-0.0859375
3240	-0.304688	-0.0859375
3250	-0.28125	-0.0859375
3260	-0.265625	-0.117188
3270	-0.257812	-0.078125
3280	-0.296875	-0.0546875
3290	-0.3125	-0.0390625
3300	-0.3125	-0.03125
3310	-0.304688	-0.0234375
3320	-0.296875	0
3330	-0.289062	0.015625
3340	-0.289062	0
3350	-0.289062	0
3360	-0.289062	0
3370	-0.3125	0.0078125
3380	-0.335938	0.0078125
3390	-0.320312	0.0078125
3400	-0.335938	0.0234375
3410	-0.3125	0.0234375
3420	-0.304688	0.0234375
3430	-0.289062	0
3440	-0.3125	0.0078125
3450	-0.320312	0.015625
3460	-0.335938	0
3470	-0.335938	-0.015625
3480	-0.335938	0
3490	-0.320312	0
3500	-0.296875	-0.0234375
3510	-0.28125	-0.046875
3520	-0.28125	-0.0390625
3530	-0.265625	-0.0390625
3540	-0.28125	-0.03125
3550	-0.28125	-0.015625
3560	-0.273438	-0.015625
3570	-0.265625	0.0078125
3580	-0.273438	0
3590	-0.273438	-0.0078125
3600	-0.296875	-0.0078125
3610	-0.296875	0.0234375
3620	-0.3125	0.0234375
3630	-0.296875	0.0078125
3640	-0.28125	0.0078125
3650	-0.296875	0
3660	-0.273438	0
3670	-0.28125	0.0078125
3680	-0.3125	0.03125
3690	-0.3125	0
3700	-0.304688	-0.03125
3710	-0.296875	-0.046875
3720	-0.289062	-0.015625
3730	-0.28125	0.03125
3740	-0.296875	0.0234375
3750	-0.28125	0.03125
3760	-0.273438	0.0390625
3770	-0.273438	0.03125
3780	-0.289062	0.0078125
3790	-0.304688	0.0078125
3800	-0.304688	-0.0078125
3810	-0.3125	0
3820	-0.320312	0.0234375
3830	-0.335938	0.046875
3840	-0.375	0.03125
3850	-0.367188	0.015625
3860	-0.351562	0.0078125
3870	-0.351562	0
3880	-0.34375	0
3890	-0.34375	0.03125
3900	-0.359375	0.03125
3910	-0.382812	0.03125
3920	-0.375	0.046875
3930	-0.367188	0.0703125
3940	-0.367188	0.117188
3950	-0.359375	0.132812
3960	-0.351562	0.132812
3970	-0.359375	0.148438
3980	-0.34375	0.15625
3990	-0.359375	0.140625
4000	-0.335938	0.15625
4010	-0.320312	0.164062
4020	-0.3125	0.179688
4030	-0.3125	0.179688
4040	-0.335938	0.164062
4050	-0.304688	0.171875
4060	-0.328125	0.164062
4070	-0.3125	0.148438
4080	-0.304688	0.148438
4090	-0.289062	0.132812
4100	-0.273438	0.132812
4110	-0.25	0.117188
4120	-0.273438	0.0859375
4130	-0.242188	0.078125
4140	-0.25	0.0859375
4150	-0.242188	0.101562
4160	-0.242188	0.0703125
4170	-0.226562	0.0703125
4180	-0.242188	0.0703125
4190	-0.242188	0.078125
4200	-0.242188	0.078125
4210	-0.296875	0.09375
4220	-0.28125	0.09375
4230	-0.289062	0.117188
4240	-0.289062	0.09375
4250	-0.304688	0.09375
4260	-0.3125	0.09375
4270	-0.296875	0.0859375
4280	-0.296875	0.0546875
4290	-0.265625	0.046875
4300	-0.273438	0.015625
4310	-0.257812	0.0078125
4320	-0.28125	0.0078125
4330	-0.257812	-0.0234375
4340	-0.265625	-0.0390625
4350	-0.289062	-0.0546875
4360	-0.289062	-0.046875
4370	-0.296875	-0.046875
4380	-0.289062	-0.0859375
4390	-0.265625	-0.0703125
4400	-0.257812	-0.078125
4410	-0.25	-0.0546875
4420	-0.25	-0.0234375
4430	-0.242188	-0.0078125
4440	-0.242188	-0.015625
4450	-0.25	-0.0234375
4460	-0.226562	-0.03125
4470	-0.234375	-0.015625
4480	-0.25	-0.0078125
4490	-0.25	-0.0078125
4500	-0.25	-0.0234375
4510	-0.257812	-0.03125
4520	-0.28125	-0.03125
4530	-0.289062	-0.0546875
4540	-0.28125	-0.0703125
4550	-0.257812	-0.0625
4560	-0.257812	-0.03125
4570	-0.257812	-0.0234375
4580	-0.25	0.0078125
4590	-0.242188	0.0078125
4600	-0.242188	-0.0078125
4610	-0.242188	-0.0390625
4620	-0.203125	-0.03125
4630	-0.195312	-0.03125
4640	-0.195312	-0.03125
4650	-0.195312	-0.046875
4660	-0.234375	-0.0625
4670	-0.242188	-0.046875
4680	-0.273438	-0.0390625
4690	-0.289062	-0.0234375
4700	-0.273438	-0.015625
4710	-0.296875	-0.0234375
4720	-0.320312	-0.0078125
4730	-0.328125	-0.0234375
4740	-0.335938	-0.0234375
